Time (s)	Channel 0	Channel 1	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6	Channel 7
0.650000	-0.047317	-0.096749	0.169539	-0.190464	0.754782	0.044911	0.724214	0.180583
0.660000	-0.043453	-0.089665	0.171471	-0.192074	0.748986	0.039437	0.720351	0.178329
0.670000	-0.046995	-0.096749	0.172437	-0.190464	0.755104	0.044267	0.723248	0.177363
0.680000	-0.043131	-0.097393	0.168573	-0.188854	0.756392	0.045555	0.722926	0.177363
0.690000	-0.040555	-0.092563	0.164065	-0.193040	0.756070	0.047165	0.720029	0.172533
0.700000	-0.047317	-0.097071	0.170827	-0.196582	0.746088	0.036861	0.723248	0.180905
0.710000	-0.043775	-0.101901	0.163099	-0.199480	0.752850	0.045877	0.723570	0.174143
0.720000	-0.048927	-0.105443	0.160201	-0.197548	0.754460	0.046521	0.726790	0.178007
0.730000	-0.043131	-0.104799	0.157303	-0.199158	0.753494	0.043301	0.719707	0.173821
0.740000	-0.038301	-0.100613	0.157947	-0.198836	0.754138	0.049741	0.727112	0.174465
0.750000	-0.040555	-0.100613	0.157625	-0.199158	0.751884	0.044911	0.720351	0.169957
0.760000	-0.038623	-0.100291	0.156015	-0.193040	0.756714	0.050707	0.724858	0.170279
0.770000	-0.040877	-0.103511	0.153117	-0.194972	0.753816	0.048775	0.721639	0.168025
0.780000	-0.040877	-0.111883	0.150541	-0.196582	0.751240	0.042657	0.724214	0.178973
0.790000	-0.038623	-0.108985	0.148931	-0.199480	0.746410	0.042013	0.727112	0.180583
0.800000	-0.040555	-0.105765	0.152473	-0.194650	0.748986	0.043623	0.728078	0.178651
0.810000	-0.036047	-0.111883	0.149897	-0.194972	0.751240	0.042013	0.724214	0.177041
0.820000	-0.037657	-0.111239	0.151829	-0.194650	0.749630	0.044589	0.727756	0.170279
0.830000	-0.043131	-0.114781	0.151829	-0.200446	0.742868	0.042657	0.729366	0.174143
0.840000	-0.043453	-0.117357	0.148931	-0.196904	0.746088	0.046843	0.730332	0.172855
0.850000	-0.046351	-0.123153	0.158591	-0.190142	0.746088	0.041047	0.725824	0.172533
0.860000	-0.044419	-0.125729	0.150863	-0.193040	0.746088	0.042013	0.723892	0.170923
0.870000	-0.050215	-0.131202	0.151829	-0.186278	0.749630	0.042979	0.723248	0.171567
0.880000	-0.042809	-0.130236	0.150541	-0.191752	0.746088	0.046521	0.730332	0.171245
0.890000	-0.049893	-0.135388	0.150219	-0.187566	0.750596	0.048131	0.731942	0.174787
0.900000	-0.051503	-0.140862	0.149575	-0.191752	0.748020	0.046199	0.736128	0.176719
0.910000	-0.042487	-0.137642	0.146999	-0.195616	0.750596	0.049741	0.731620	0.168025
0.920000	-0.043453	-0.143438	0.148287	-0.190142	0.755104	0.050063	0.730010	0.169313
0.930000	-0.036691	-0.140862	0.145389	-0.195938	0.754460	0.048131	0.727756	0.164805
0.940000	-0.040233	-0.137320	0.144745	-0.192718	0.756070	0.050063	0.729688	0.167381
0.950000	-0.041843	-0.138286	0.144423	-0.199480	0.749308	0.049419	0.733552	0.168991
0.960000	-0.038301	-0.135710	0.142169	-0.198514	0.753172	0.051029	0.733230	0.168669
0.970000	-0.036047	-0.136676	0.141525	-0.199158	0.754138	0.049741	0.731942	0.168669
0.980000	-0.032183	-0.134100	0.142813	-0.194650	0.756714	0.046843	0.730332	0.169313
0.990000	-0.039267	-0.132490	0.146999	-0.188854	0.758646	0.046843	0.727434	0.169635
1.000000	-0.032183	-0.128948	0.146033	-0.202378	0.753172	0.048131	0.730654	0.169313
1.010000	-0.044419	-0.128948	0.147321	-0.191430	0.754138	0.045877	0.731298	0.174465
1.020000	-0.041843	-0.126373	0.143457	-0.194650	0.751562	0.048453	0.729044	0.166415
1.030000	-0.049571	-0.128626	0.148931	-0.192396	0.748986	0.044267	0.727434	0.170923
1.040000	-0.049249	-0.132490	0.144101	-0.191752	0.749952	0.045555	0.726146	0.166093
1.050000	-0.056655	-0.135710	0.143457	-0.197548	0.742224	0.042013	0.731298	0.176719
1.060000	-0.051825	-0.129914	0.141847	-0.201090	0.745122	0.048453	0.730332	0.167381
1.070000	-0.056977	-0.138608	0.141847	-0.198514	0.747698	0.046521	0.730010	0.171245
1.080000	-0.052469	-0.134100	0.146355	-0.196582	0.748664	0.045877	0.730010	0.169635
1.090000	-0.055367	-0.126695	0.141203	-0.201090	0.745444	0.050385	0.736772	0.172211
1.100000	-0.054079	-0.132490	0.139272	-0.201090	0.746410	0.045555	0.732908	0.171889
1.110000	-0.056011	-0.133778	0.133154	-0.203022	0.746732	0.049097	0.734840	0.175431
1.120000	-0.054401	-0.128626	0.140882	-0.202378	0.742546	0.041369	0.732264	0.174465
1.130000	-0.051825	-0.128304	0.134764	-0.207208	0.745766	0.050385	0.740958	0.176719
1.140000	-0.048927	-0.125407	0.133798	-0.207530	0.742546	0.045233	0.738704	0.178973
1.150000	-0.046673	-0.125407	0.138628	-0.205276	0.746410	0.048453	0.736450	0.176397
1.160000	-0.047317	-0.123797	0.130256	-0.197548	0.745766	0.044911	0.733552	0.175431
1.170000	-0.045063	-0.123153	0.135086	-0.201090	0.745766	0.047487	0.734518	0.175109
1.180000	-0.048927	-0.122831	0.131544	-0.207530	0.738682	0.046521	0.739026	0.178651
1.190000	-0.040877	-0.124119	0.130578	-0.198836	0.744156	0.043623	0.734196	0.178973
1.200000	-0.053435	-0.131846	0.128324	-0.201090	0.742868	0.042657	0.732264	0.178007
1.210000	-0.051503	-0.129914	0.130256	-0.203988	0.744800	0.048131	0.736128	0.176719
1.220000	-0.051825	-0.127661	0.134764	-0.207208	0.739004	0.042657	0.736128	0.177685
1.230000	-0.057621	-0.132812	0.129290	-0.205276	0.738360	0.041047	0.737094	0.184124
1.240000	-0.053757	-0.128304	0.132510	-0.200768	0.745766	0.043623	0.730976	0.176719
1.250000	-0.055367	-0.129592	0.135408	-0.205598	0.741580	0.041369	0.734196	0.178651
1.260000	-0.055367	-0.125729	0.129934	-0.206886	0.744478	0.050385	0.737094	0.176719
1.270000	-0.055689	-0.128626	0.131544	-0.202700	0.748020	0.048453	0.734518	0.177363
1.280000	-0.056977	-0.130236	0.137340	-0.205598	0.741580	0.040081	0.730332	0.179617
1.290000	-0.069212	-0.145370	0.123494	-0.218155	0.731920	0.033641	0.724858	0.172533
1.300000	-0.060197	-0.128626	0.136052	-0.200768	0.745122	0.044911	0.731620	0.176397
1.310000	-0.059231	-0.128304	0.140238	-0.198836	0.742546	0.041047	0.732586	0.181871
1.320000	-0.056011	-0.124119	0.145067	-0.198192	0.745444	0.047165	0.735162	0.179939
1.330000	-0.058265	-0.125085	0.147321	-0.194006	0.743512	0.039437	0.730654	0.182193
1.340000	-0.059875	-0.123153	0.141525	-0.197226	0.739648	0.042335	0.735806	0.186700
1.350000	-0.056011	-0.128626	0.136696	-0.193684	0.745766	0.043945	0.730976	0.182837
1.360000	-0.050859	-0.116069	0.141203	-0.192396	0.743512	0.040725	0.729366	0.186056
1.370000	-0.053113	-0.117035	0.137984	-0.194650	0.739648	0.039437	0.730010	0.188632
1.380000	-0.049893	-0.118645	0.131866	-0.196260	0.742546	0.042657	0.730010	0.188632
1.390000	-0.045063	-0.120577	0.126714	-0.196260	0.744800	0.040081	0.725180	0.187022
1.400000	-0.049571	-0.122509	0.124782	-0.194006	0.744800	0.040725	0.726790	0.192496
1.410000	-0.045707	-0.119289	0.122206	-0.197226	0.739648	0.035895	0.725824	0.195072
1.420000	-0.048927	-0.123797	0.120596	-0.196260	0.742868	0.037183	0.724214	0.196038
1.430000	-0.049893	-0.125085	0.123494	-0.194650	0.743834	0.035251	0.725180	0.198614
1.440000	-0.046351	-0.113493	0.122206	-0.197226	0.743190	0.037183	0.724214	0.193784
1.450000	-0.048927	-0.118001	0.122206	-0.194650	0.742546	0.033319	0.724536	0.200224
1.460000	-0.046029	-0.114137	0.125748	-0.194650	0.745122	0.035251	0.722283	0.197648
1.470000	-0.048283	-0.109951	0.118342	-0.197548	0.745122	0.035573	0.720029	0.199580
1.480000	-0.039589	-0.111239	0.112868	-0.202056	0.745766	0.034929	0.722283	0.204732
1.490000	-0.040233	-0.103833	0.110936	-0.202378	0.741902	0.032031	0.718097	0.203122
1.500000	-0.033149	-0.098037	0.114156	-0.200768	0.743834	0.027845	0.714555	0.204732
1.510000	-0.039589	-0.097715	0.109004	-0.198514	0.743512	0.027201	0.717131	0.212782
1.520000	-0.030895	-0.086767	0.108682	-0.199158	0.744800	0.024947	0.711657	0.211816
1.530000	-0.027675	-0.083547	0.104174	-0.201412	0.746410	0.027845	0.712623	0.215036
1.540000	-0.030251	-0.077430	0.103852	-0.198836	0.743512	0.024303	0.713589	0.220510
1.550000	-0.024133	-0.075498	0.102886	-0.196904	0.746410	0.020117	0.707471	0.222120
1.560000	-0.019947	-0.070024	0.098700	-0.203666	0.744800	0.022371	0.708115	0.221798
1.570000	-0.027353	-0.069702	0.103530	-0.202700	0.742546	0.017220	0.709081	0.233067
1.580000	-0.018337	-0.059398	0.097412	-0.210427	0.744478	0.021083	0.706183	0.227594
1.590000	-0.024455	-0.057788	0.097090	-0.199802	0.747054	0.019795	0.702963	0.234355
1.600000	-0.024133	-0.058432	0.097090	-0.198836	0.750274	0.022371	0.699421	0.232101
1.610000	-0.031539	-0.058754	0.096768	-0.196260	0.748986	0.017542	0.691693	0.232101
1.620000	-0.036691	-0.055856	0.099344	-0.200124	0.744156	0.018186	0.696845	0.236609
1.630000	-0.040877	-0.059076	0.090007	-0.203988	0.741258	0.019795	0.698133	0.239185
1.640000	-0.039267	-0.067770	0.091939	-0.193362	0.747376	0.017220	0.691049	0.238219
1.650000	-0.037979	-0.071312	0.094193	-0.202378	0.744156	0.018186	0.696523	0.237253
1.660000	-0.045385	-0.078396	0.091295	-0.194006	0.745766	0.015932	0.692337	0.237253
1.670000	-0.040555	-0.071634	0.104174	-0.195938	0.745444	0.018829	0.698133	0.236609
1.680000	-0.039911	-0.075498	0.102242	-0.203344	0.739970	0.014644	0.701675	0.241117
1.690000	-0.041843	-0.078074	0.101598	-0.202056	0.742546	0.016576	0.705217	0.242405
1.700000	-0.037979	-0.081294	0.096125	-0.199802	0.748664	0.017220	0.702319	0.242405
1.710000	-0.037013	-0.080328	0.092905	-0.195616	0.749952	0.018829	0.701997	0.243371
1.720000	-0.031217	-0.079040	0.099344	-0.198514	0.747054	0.015610	0.703285	0.240795
1.730000	-0.030251	-0.075176	0.094193	-0.193040	0.751240	0.019151	0.702319	0.243371
1.740000	-0.033471	-0.080006	0.083245	-0.197870	0.743512	0.013356	0.694913	0.236287
1.750000	-0.028319	-0.067770	0.099344	-0.187888	0.754460	0.030099	0.717775	0.254963
1.760000	-0.022201	-0.063906	0.096125	-0.187244	0.744800	0.016254	0.700709	0.239829
1.770000	-0.025421	-0.074532	0.096125	-0.184668	0.745122	0.012712	0.696523	0.239507
1.780000	-0.028641	-0.070346	0.095481	-0.186600	0.744156	0.017220	0.704573	0.241439
1.790000	-0.021235	-0.075820	0.094193	-0.194006	0.743190	0.015610	0.704251	0.241439
1.800000	-0.023167	-0.081616	0.087109	-0.197870	0.743834	0.015932	0.700065	0.241439
1.810000	-0.020913	-0.075820	0.084211	-0.198836	0.738038	0.011746	0.701031	0.243371
1.820000	-0.026065	-0.083547	0.088719	-0.192718	0.745122	0.015932	0.700387	0.240795
1.830000	-0.028641	-0.080972	0.089363	-0.193684	0.740614	0.014644	0.705539	0.242083
1.840000	-0.026709	-0.079684	0.083567	-0.193684	0.740614	0.014644	0.701997	0.240151
1.850000	-0.027997	-0.083547	0.080347	-0.199802	0.738038	0.015288	0.701675	0.240795
1.860000	-0.023811	-0.080972	0.080991	-0.200446	0.738038	0.016254	0.705539	0.240795
1.870000	-0.030573	-0.087411	0.085499	-0.194650	0.739004	0.012068	0.699099	0.242083
1.880000	-0.033149	-0.087089	0.080025	-0.192718	0.741258	0.017220	0.701675	0.241117
1.890000	-0.030251	-0.082582	0.090007	-0.193040	0.737716	0.013678	0.704573	0.241439
1.900000	-0.027031	-0.083225	0.086787	-0.197870	0.734174	0.009814	0.698133	0.240151
1.910000	-0.027353	-0.080650	0.081957	-0.193684	0.739004	0.014644	0.702641	0.241761
1.920000	-0.028319	-0.084835	0.080669	-0.196904	0.739004	0.014322	0.702641	0.243371
1.930000	-0.032505	-0.082582	0.086787	-0.193362	0.736106	0.009814	0.704895	0.250133
1.940000	-0.022523	-0.081938	0.075517	-0.202378	0.742868	0.022049	0.704895	0.241439
1.950000	-0.026709	-0.081616	0.078093	-0.196260	0.738038	0.012390	0.703285	0.247235
1.960000	-0.028319	-0.084835	0.083245	-0.194972	0.740292	0.013034	0.703285	0.245303
1.970000	-0.027675	-0.087411	0.081957	-0.200124	0.740292	0.020117	0.707149	0.240151
1.980000	-0.030573	-0.087411	0.082923	-0.195616	0.736750	0.011102	0.702319	0.244337
1.990000	-0.029285	-0.087733	0.084211	-0.195938	0.740292	0.017220	0.708115	0.243693
2.000000	-0.026387	-0.087411	0.085177	-0.196582	0.737394	0.014966	0.702963	0.239185
2.010000	-0.022523	-0.086767	0.083889	-0.194972	0.740292	0.016254	0.703285	0.236609
2.020000	-0.030895	-0.088377	0.082279	-0.198514	0.736106	0.017542	0.710691	0.245625
2.030000	-0.028319	-0.087733	0.085177	-0.192074	0.737072	0.013034	0.705861	0.245625
2.040000	-0.029607	-0.090309	0.085821	-0.191108	0.738682	0.018508	0.708759	0.245947
2.050000	-0.028319	-0.083225	0.089041	-0.186600	0.739970	0.017220	0.705539	0.240151
2.060000	-0.029929	-0.087733	0.084855	-0.193040	0.735140	0.015288	0.707149	0.245303
2.070000	-0.022201	-0.086123	0.083889	-0.193040	0.738360	0.017542	0.703607	0.238219
2.080000	-0.027031	-0.086767	0.088397	-0.195616	0.734818	0.015932	0.707149	0.242405
2.090000	-0.032827	-0.094495	0.087431	-0.190786	0.739970	0.019151	0.709725	0.239507
2.100000	-0.029285	-0.089987	0.091295	-0.191752	0.734496	0.012390	0.704573	0.239507
2.110000	-0.030573	-0.093529	0.095159	-0.193362	0.736106	0.013356	0.703285	0.233711
2.120000	-0.039911	-0.093851	0.096447	-0.193040	0.732564	0.020117	0.716809	0.237897
2.130000	-0.032505	-0.095461	0.091939	-0.192718	0.736106	0.017542	0.708759	0.234677
2.140000	-0.042165	-0.099647	0.097412	-0.189498	0.739648	0.021727	0.714877	0.236931
2.150000	-0.039267	-0.102867	0.093227	-0.195294	0.736750	0.021083	0.716487	0.234999
2.160000	-0.040233	-0.099003	0.094515	-0.200768	0.732242	0.017864	0.716165	0.234355
2.170000	-0.042487	-0.105765	0.093871	-0.194328	0.736106	0.021083	0.719063	0.234677
2.180000	-0.044419	-0.101257	0.096768	-0.198514	0.732886	0.022371	0.720029	0.231779
2.190000	-0.048927	-0.111239	0.094193	-0.194328	0.734818	0.021083	0.718419	0.234033
2.200000	-0.048605	-0.108663	0.090973	-0.200446	0.728700	0.016576	0.715521	0.230813
2.210000	-0.045385	-0.106409	0.092905	-0.198192	0.729666	0.021083	0.716487	0.227272
2.220000	-0.043775	-0.108019	0.094515	-0.200124	0.729022	0.022693	0.719063	0.225018
2.230000	-0.049249	-0.112849	0.087109	-0.205920	0.730632	0.027201	0.722283	0.225984
2.240000	-0.051181	-0.111883	0.095159	-0.201090	0.730310	0.023337	0.719385	0.222120
2.250000	-0.047317	-0.110595	0.098056	-0.201734	0.729666	0.019795	0.720029	0.222120
2.260000	-0.051825	-0.108019	0.098700	-0.203666	0.729022	0.023015	0.724214	0.222120
2.270000	-0.050215	-0.110273	0.101598	-0.212359	0.724193	0.021083	0.726468	0.224374
2.280000	-0.054401	-0.105443	0.101920	-0.203344	0.732886	0.027523	0.729044	0.223408
2.290000	-0.049571	-0.108019	0.100632	-0.211393	0.730954	0.025269	0.723570	0.219222
2.300000	-0.051825	-0.103511	0.101920	-0.216545	0.725481	0.022371	0.726146	0.221154
2.310000	-0.055367	-0.104799	0.100310	-0.215901	0.729666	0.026235	0.727756	0.221798
2.320000	-0.056011	-0.102545	0.105784	-0.215257	0.730954	0.027845	0.730654	0.217934
2.330000	-0.056977	-0.103511	0.102886	-0.215257	0.732242	0.029455	0.728078	0.216002
2.340000	-0.064704	-0.103511	0.104496	-0.214613	0.729666	0.028811	0.729044	0.217612
2.350000	-0.070500	-0.102223	0.109326	-0.211071	0.725159	0.023337	0.730332	0.221798
2.360000	-0.075974	-0.105443	0.106750	-0.214613	0.722905	0.021727	0.728400	0.222120
2.370000	-0.071466	-0.109307	0.110614	-0.220731	0.725803	0.024303	0.729366	0.219222
2.380000	-0.072110	-0.105121	0.111258	-0.212359	0.732564	0.028167	0.726146	0.214714
2.390000	-0.075330	-0.109951	0.111580	-0.214291	0.729988	0.024625	0.727756	0.221476
2.400000	-0.071788	-0.105121	0.113512	-0.218155	0.726447	0.021083	0.725824	0.220832
2.410000	-0.076940	-0.107375	0.113834	-0.212681	0.728056	0.023981	0.729366	0.223730
2.420000	-0.071788	-0.107375	0.110292	-0.214935	0.729344	0.027523	0.730332	0.220832
2.430000	-0.070500	-0.108341	0.102886	-0.213003	0.728378	0.029133	0.729688	0.217612
2.440000	-0.066314	-0.110917	0.109648	-0.216223	0.723871	0.025591	0.728078	0.216646
2.450000	-0.079194	-0.124763	0.106428	-0.206886	0.727412	0.022371	0.727434	0.223408
2.460000	-0.082414	-0.127017	0.107072	-0.205598	0.725159	0.023981	0.728722	0.220832
2.470000	-0.072432	-0.128948	0.107394	-0.210106	0.727734	0.029777	0.731942	0.218900
2.480000	-0.068568	-0.128304	0.099988	-0.205920	0.729666	0.031709	0.729688	0.215680
2.490000	-0.063738	-0.136676	0.097412	-0.203344	0.729988	0.024947	0.722926	0.217612
2.500000	-0.062451	-0.132490	0.096447	-0.206242	0.727091	0.023981	0.725502	0.219544
2.510000	-0.056655	-0.132168	0.101920	-0.199480	0.732242	0.027523	0.726468	0.216324
2.520000	-0.055367	-0.130558	0.101920	-0.201412	0.731598	0.028811	0.728078	0.220510
2.530000	-0.058265	-0.136354	0.092583	-0.196582	0.734496	0.025269	0.720673	0.218578
2.540000	-0.049893	-0.129914	0.106750	-0.196904	0.731276	0.023337	0.723892	0.216968
2.550000	-0.048283	-0.128948	0.100310	-0.197548	0.737072	0.029455	0.722926	0.213104
2.560000	-0.051181	-0.133456	0.097412	-0.193684	0.736106	0.023337	0.720029	0.218900
2.570000	-0.046673	-0.133134	0.094837	-0.203344	0.735140	0.028167	0.725502	0.219544
2.580000	-0.046673	-0.123475	0.103852	-0.193684	0.735784	0.025591	0.722283	0.218256
2.590000	-0.044741	-0.129270	0.097412	-0.200446	0.735140	0.023015	0.720673	0.223086
2.600000	-0.045063	-0.122509	0.100954	-0.194650	0.736428	0.022693	0.717453	0.218256
2.610000	-0.041843	-0.119933	0.101920	-0.200768	0.735784	0.025591	0.720351	0.217612
2.620000	-0.045063	-0.122187	0.102242	-0.196582	0.739970	0.025591	0.715199	0.217612
2.630000	-0.044741	-0.119611	0.097734	-0.194006	0.742868	0.026557	0.715843	0.219866
2.640000	-0.045063	-0.114137	0.105140	-0.193684	0.739648	0.021727	0.715843	0.225018
2.650000	-0.044097	-0.107053	0.102242	-0.196260	0.740614	0.027201	0.717453	0.220510
2.660000	-0.043775	-0.113493	0.101276	-0.196582	0.739326	0.020439	0.713267	0.224696
2.670000	-0.044419	-0.105765	0.102242	-0.200446	0.737072	0.023981	0.717775	0.223730
2.680000	-0.037013	-0.097393	0.104174	-0.196260	0.743834	0.027523	0.713589	0.220832
2.690000	-0.042487	-0.101579	0.107716	-0.195938	0.745122	0.027523	0.712945	0.219866
2.700000	-0.044097	-0.100291	0.099988	-0.201734	0.738682	0.025591	0.712945	0.223086
2.710000	-0.042165	-0.099325	0.109326	-0.195616	0.744156	0.024303	0.711979	0.222764
2.720000	-0.046673	-0.100613	0.110614	-0.197548	0.742224	0.023015	0.712945	0.227594
2.730000	-0.039267	-0.094173	0.112224	-0.200124	0.743512	0.023981	0.711013	0.223086
2.740000	-0.043453	-0.101579	0.110936	-0.195938	0.746410	0.021083	0.710369	0.225984
2.750000	-0.044097	-0.097715	0.112546	-0.197548	0.746410	0.024947	0.712301	0.226306
2.760000	-0.045385	-0.098359	0.110936	-0.195616	0.745766	0.023981	0.711013	0.227916
2.770000	-0.043453	-0.099003	0.104496	-0.197226	0.742868	0.021083	0.704895	0.224374
2.780000	-0.046995	-0.094173	0.112224	-0.193362	0.741902	0.020439	0.708759	0.228238
2.790000	-0.046995	-0.100935	0.101598	-0.197548	0.742224	0.024625	0.708759	0.228238
2.800000	-0.040877	-0.097071	0.105462	-0.194328	0.742868	0.021405	0.704895	0.225018
2.810000	-0.039589	-0.097071	0.106106	-0.195938	0.742546	0.020439	0.709081	0.233067
2.820000	-0.044097	-0.094173	0.109970	-0.192396	0.741258	0.020439	0.705861	0.229525
2.830000	-0.038623	-0.091597	0.108038	-0.196582	0.742546	0.021083	0.705861	0.230813
2.840000	-0.036369	-0.093851	0.109004	-0.192074	0.746088	0.016576	0.697811	0.224052
2.850000	-0.037657	-0.088377	0.109326	-0.194006	0.744156	0.019151	0.703607	0.229203
2.860000	-0.034437	-0.087411	0.111580	-0.191430	0.747698	0.020117	0.701353	0.225662
2.870000	-0.037013	-0.094173	0.109326	-0.191752	0.750918	0.022693	0.703285	0.226950
2.880000	-0.032505	-0.086123	0.114800	-0.197226	0.748664	0.024303	0.708437	0.230169
