wn95b Shoulder Shoulder Hip Hip Tib.Epic. Tib.Epic. Knee Knee Ankle Ankle Heel Heel Ball Ball Toes Toes
Time "Mark01 X" "Mark01 Y" "Mark02 X" "Mark02 Y" "Mark03 X" "Mark03 Y" "Mark04 X" "Mark04 Y" "Mark05 X" "Mark05 Y" "Mark06 X" "Mark06 Y" "Mark07 X" "Mark07 Y" "Mark08 X" "Mark08 Y"
s cm cm cm cm cm cm cm cm cm cm cm cm cm cm cm cm
0.429 1.059605 1.042977 1.08977 0.8013303 1.188516 0.5064904 1.201424 0.4214542 1.278766 0.0983664 1.235792 3.94E-02 1.389767 5.62E-02 1.450374 8.96E-02
0.4433 1.082829 1.043604 1.112216 0.8036265 1.209726 0.5084322 1.221614 0.4214836 1.284571 9.64E-02 1.236313 4.04E-02 1.392682 4.76E-02 1.456285 7.62E-02
0.4576 1.105671 1.044745 1.133648 0.8064221 1.230389 0.5107225 1.241061 0.4218926 1.289352 9.50E-02 1.236859 4.14E-02 1.394858 4.14E-02 1.460912 6.55E-02
0.4719 1.12796 1.046358 1.15404 0.8095407 1.250025 0.5130265 1.259236 0.4225414 1.293127 9.42E-02 1.23754 4.24E-02 1.396463 3.76E-02 1.464374 5.76E-02
0.4862 1.149631 1.048388 1.17361 0.8128045 1.268018 0.5150251 1.275613 0.42331 1.295985 9.36E-02 1.238358 4.32E-02 1.397672 0.0358781 1.466826 5.23E-02
0.5005 1.17076 1.050763 1.192745 0.8160697 1.283968 0.5165235 1.289893 0.4241081 1.298147 9.33E-02 1.23937 4.40E-02 1.398697 3.55E-02 1.468516 4.92E-02
0.5148 1.191468 1.053399 1.211753 0.8192331 1.297833 0.5174783 1.302007 0.4248762 1.29986 9.32E-02 1.240607 4.48E-02 1.399701 3.57E-02 1.46973 4.76E-02
0.5291 1.211789 1.056202 1.230688 0.8222069 1.30978 0.5179473 1.311974 0.4255861 1.301226 9.32E-02 1.241921 4.54E-02 1.400657 3.60E-02 1.470618 4.70E-02
0.5434 1.231681 1.059075 1.249375 0.8249009 1.320027 0.5180362 1.319878 0.4262321 1.302171 0.0934305 1.242999 0.0456857 1.401356 3.61E-02 1.47116 4.68E-02
0.5577 1.251134 1.061917 1.267568 0.8272357 1.32882 0.5178876 1.326002 0.4268113 1.302611 9.37E-02 1.243558 4.58E-02 1.401604 0.0360547 1.47133 4.67E-02
0.572 1.270206 1.064629 1.285072 0.8291606 1.336495 0.5176699 1.330881 0.4273119 1.302608 9.41E-02 1.243529 4.58E-02 1.401414 3.59E-02 1.471202 4.64E-02
0.5863 1.288998 1.067116 1.301802 0.830649 1.343473 0.5175177 1.335139 0.4277075 1.30234 9.47E-02 1.243092 4.58E-02 1.400979 3.60E-02 1.470893 4.59E-02
0.6006 1.307638 1.069289 1.317806 0.8316829 1.350174 0.5174551 1.339244 0.4279633 1.301985 0.0953972 1.24252 4.59E-02 1.400499 3.62E-02 1.470505 4.54E-02
0.6149 1.326246 1.07107 1.333252 0.8322394 1.356907 0.5173531 1.343404 0.4280501 1.301679 9.63E-02 1.242034 4.63E-02 1.400094 3.62E-02 1.470135 4.48E-02
0.6292 1.344932 1.072389 1.348363 0.8322909 1.363833 0.5170053 1.34767 0.4279532 1.301569 9.72E-02 1.241799 0.0469428 1.399834 3.60E-02 1.469875 4.43E-02
0.6435 1.36378 1.073196 1.363309 0.831825 1.370994 0.5162822 1.352089 0.4276809 1.301793 9.82E-02 1.241922 4.77E-02 1.399725 3.55E-02 1.46977 4.37E-02
0.6578 1.382835 1.073457 1.378186 0.8308673 1.378364 0.5151875 1.356727 0.4272696 1.302403 9.90E-02 1.242431 4.84E-02 1.399705 0.0349461 1.469815 4.31E-02
0.6721 1.402122 1.07316 1.3931 0.8294786 1.385923 0.5138105 1.361643 0.426778 1.303355 0.0996387 1.243301 4.90E-02 1.399722 3.45E-02 1.469998 4.24E-02
0.6864 1.421651 1.072316 1.408242 0.8277318 1.393714 0.5122848 1.366888 0.4262736 1.30456 0.1001748 1.244493 4.94E-02 1.399807 0.0342707 1.470324 4.17E-02
0.7007 1.441414 1.070957 1.42383 0.8256972 1.401808 0.5107678 1.372517 0.4258241 1.305948 0.1006801 1.245971 4.98E-02 1.400074 3.43E-02 1.470795 4.10E-02
