Time	FHx	FHy	FHz	LEx	LEy	LEz	MEx	MEy	MEz	HFx	HFy	HFz	TTx	TTy	TTz	LMx	LMy	LMz	MMx	MMy	MMz	CAx	CAy	CAz	FMx	FMy	FMz	VMx	VMy	VMz	Fx	Fy	Fz	COPx	COPy	COPz	My
0.093	19.03151	765.23724	-114.64916	192.44376	432.39737	-57.76355	191.13617	427.11542	-185.46931	183.66168	395.39615	-50.65136	243.28577	387.25836	-107.31747	283.94608	66.28213	-76.20113	298.39307	82.80932	-155.9151	236.97853	36.26908	-124.58975	419.2605	74.53048	-121.3977	389.53247	48.80309	-66.98995	-38.21	378.61	9.93	268.79	0	-115.66	-528.04
0.1	29.27116	765.23792	-113.57758	201.80486	432.92047	-57.00511	201.79169	428.21237	-184.2845	192.41148	395.66064	-49.91199	252.29904	387.0303	-106.22946	286.44299	65.17531	-75.97753	301.86371	81.36697	-155.71391	238.88745	36.96437	-124.60619	422.5574	69.36337	-120.43626	391.57098	44.58084	-65.99739	-65.93	435.3	4.45	271.63	0	-115.71	-319.07
0.107	39.43835	765.49976	-112.40505	211.13141	433.69006	-56.22265	212.57892	429.6488	-183.04636	201.17941	396.17166	-49.16521	261.22461	386.97296	-105.11452	288.53403	64.26495	-75.84131	304.79944	80.1097	-155.62502	240.39149	37.71043	-124.64486	425.30994	64.53401	-119.77116	393.17645	40.86299	-65.11606	-95.91	444.23	-5.98	274.09	0	-114.98	-27.85
0.113	49.51223	766.03143	-111.12882	220.41624	434.64841	-55.44244	223.39053	431.35666	-181.78836	209.9756	396.88556	-48.42693	270.01501	387.04071	-104.02088	290.29211	63.54689	-75.79253	307.23236	79.03163	-155.65729	241.56888	38.45676	-124.69492	427.56833	60.14518	-119.43944	394.43713	37.72731	-64.37334	-99.31	463.84	-10.11	278.71	0	-113.79	-195.67
0.12	59.47459	766.82959	-109.75233	229.63417	435.71783	-54.68998	234.10419	433.23804	-180.54515	218.78058	397.74332	-47.71369	278.61548	387.18094	-102.99982	291.77673	63.00684	-75.82723	309.20651	78.11914	-155.80807	242.48389	39.1639	-124.75391	429.3855	56.25778	-119.4329	395.42322	35.19606	-63.77626	-102.02	518.84	-24.51	285.04	0	-111.63	-294.55
0.127	69.30896	767.87726	-108.28615	238.7364	436.8147	-53.9853	244.58258	435.17511	-179.34969	227.54251	398.67932	-47.04013	286.96704	387.34158	-102.0983	293.03592	62.62308	-75.93544	310.77634	77.35403	-156.06198	243.18976	39.80457	-124.82189	430.81659	52.89279	-119.70697	396.18951	33.24322	-63.31417	-121.25	549.81	-29.72	289.49	0	-110.06	-640.75
0.133	79.00076	769.14423	-106.74809	247.65089	437.86295	-53.34003	254.67703	437.04471	-178.23138	236.17978	399.62991	-46.417	295.01083	387.47638	-101.35139	294.10675	62.36927	-76.10194	312.00119	76.71642	-156.39365	243.72998	40.36315	-124.89711	431.91608	50.03803	-120.19455	396.77771	31.80785	-62.96308	-137.59	539.88	-24.83	293.09	0	-110.5	-1179.89
0.14	88.53829	770.58887	-105.16189	256.28989	438.80222	-52.75657	264.23511	438.73239	-177.21562	244.58986	400.53928	-45.85007	302.69202	387.54773	-100.77678	295.01758	62.21742	-76.30901	312.93951	76.18706	-156.77357	244.1394	40.8341	-124.97472	432.73499	47.65903	-120.82379	397.22046	30.81087	-62.69548	-144.56	549.13	-27.58	296.81	0	-109.19	-1316.45
0.147	97.914	772.1626	-103.55505	264.56293	439.58975	-52.22972	273.11288	440.14389	-176.32387	252.66347	401.36279	-45.33995	309.9632	387.52814	-100.37325	295.79114	62.14102	-76.53925	313.64465	75.74827	-157.17384	244.44568	41.21938	-125.04804	433.3205	45.70908	-121.53335	397.54608	30.16923	-62.49004	-150.63	586.75	-34.24	299.7	0	-109.68	-1435.53
0.153	107.12566	773.81354	-101.95673	272.39182	440.19901	-51.7505	281.19131	441.21307	-175.5731	260.30112	402.06866	-44.88338	316.78665	387.40076	-100.12343	296.44629	62.11735	-76.77763	314.16321	75.38424	-157.5715	244.67032	41.52581	-125.11095	433.71558	44.13612	-122.27837	397.77948	29.80426	-62.33423	-155.46	619.59	-42.5	302.34	0	-109.4	-1211.95
