Time	FHx	FHy	FHz	LEx	LEy	LEz	MEx	MEy	MEz	HFx	HFy	HFz	TTx	TTy	TTz	LMx	LMy	LMz	MMx	MMy	MMz	CAx	CAy	CAz	FMx	FMy	FMz	VMx	VMy	VMz	Fx	Fy	Fz	COPx	COPy	COPz	My
0.093	44.3734	803.04639	-416.90164	213.70216	463.01099	-218.78807	-48.40388	468.54883	-376.69498	229.53256	399.82083	-220.25668	282.70569	415.24963	-266.02338	311.3952	60.49847	-248.48686	338.80103	85.81165	-326.29111	271.3537	32.02179	-295.31036	475.37524	62.7184	-280.84958	436.74512	45.19454	-220.49617	-47.89	318.86	9.91	310.62	0	-289.49	344.61
0.1	53.94374	802.62457	-414.93713	222.86487	463.76743	-217.79167	-39.3083	468.03738	-376.18573	238.14786	400.30704	-219.42273	291.25986	415.19202	-265.37628	313.38391	60.21955	-248.90959	341.56604	84.55957	-326.77112	272.56949	32.79327	-295.7778	477.6705	58.02689	-280.34158	438.05972	42.03779	-219.61829	-88	353.47	4.69	313.24	0	-288.35	688.94
0.107	63.52851	802.3736	-412.90302	231.87158	464.68011	-216.72371	-29.65533	467.45721	-375.70209	246.564	400.95981	-218.50594	299.60373	415.28143	-264.65335	315.06812	60.09551	-249.28976	343.9577	83.53467	-327.19122	273.56345	33.57448	-296.19247	479.57996	53.80167	-279.91016	439.13177	39.31449	-218.71442	-106	376.28	0.47	316.72	0	-289.48	902.71
0.113	73.10152	802.3056	-410.81512	240.69177	465.70724	-215.58554	-19.39509	466.78476	-375.26697	254.72444	401.72842	-217.50591	307.68347	415.4762	-263.83148	316.47064	60.08931	-249.6241	345.98322	82.72095	-327.54504	274.36554	34.32195	-296.54001	481.13129	50.10141	-279.58575	440.00858	37.03234	-217.82475	-86.4	419.42	0.53	319.84	0	-287.43	1151.39
0.12	82.6369	802.42712	-408.68848	249.26846	466.79727	-214.38068	-8.48273	465.99371	-374.89896	262.55994	402.55566	-216.42683	315.44122	415.72919	-262.88715	317.6225	60.16843	-249.90889	347.66803	82.09859	-327.82977	275.00348	35.00494	-296.81638	482.3631	46.95424	-279.37314	440.7276	35.17709	-216.97675	-75.06	456.31	-4.26	323.81	0	-286.32	1245.27
0.127	92.10971	802.73846	-406.5376	257.52332	467.89597	-213.11398	3.11841	465.05737	-374.60959	269.99762	403.38721	-215.27693	322.8208	415.99484	-261.80396	318.55634	60.30362	-250.14133	349.04742	81.64478	-328.04538	275.50125	35.60417	-297.02536	483.31824	44.35705	-279.25656	441.31378	33.71486	-216.18491	-92.77	472.94	-8.73	327.3	0	-285.27	1207.9
0.133	101.49635	803.23328	-404.37671	265.3692	468.95404	-211.79187	15.43326	463.95193	-374.40091	276.97119	404.17838	-214.06815	329.77185	416.23462	-260.57852	319.29962	60.46879	-250.32176	350.15793	81.33456	-328.19406	275.87848	36.11008	-297.1752	484.03827	42.27991	-279.20807	441.78116	32.59654	-215.4525	-111.67	479.19	-11.97	332	0	-283.83	1155.74
0.14	110.77474	803.89905	-402.21979	272.72476	469.93317	-210.4234	28.47128	462.66037	-374.26431	283.42834	404.89697	-212.8156	336.25241	416.41937	-259.22342	319.87366	60.64205	-250.45447	351.03336	81.14175	-328.28012	276.1514	36.52091	-297.27548	484.56088	40.67414	-279.19733	442.13828	31.76568	-214.77702	-117.3	482.55	-13.35	336.16	0	-283.41	938.1
0.147	119.92437	804.71771	-400.08136	279.526	470.80814	-209.02139	42.22276	461.17661	-374.17984	289.33563	405.52356	-211.53664	342.23236	416.52975	-257.76593	320.29718	60.80709	-250.54572	351.70529	81.04056	-328.30988	276.33426	36.84092	-297.33514	484.92023	39.4797	-279.20065	442.39404	31.16622	-214.15694	-118.35	501	-15.29	339.4	0	-282.08	1304.85
0.153	128.92697	805.66693	-397.97604	285.73294	471.56635	-207.60246	56.65585	459.50952	-374.11703	294.67975	406.04993	-210.24968	347.69653	416.55496	-256.24368	320.59033	60.95373	-250.60124	352.20374	81.00708	-328.29126	276.44016	37.07861	-297.36154	485.14725	38.63073	-279.20575	442.56042	30.74752	-213.59485	-119.97	525.75	-20.63	342.18	0	-281.6	1667.66
