Time[s]	GRF[N]
6.868888888888889	615.69
6.8711111111111105	609.09
6.873333333333333	602.88
6.875555555555556	597.38
6.877777777777777	590.44
6.88	582.34
6.882222222222222	576.16
6.884444444444444	569.56
6.886666666666667	558.53
6.888888888888888	551.59
6.891111111111111	541.34
6.893333333333333	532.56
6.895555555555555	525.94
6.897777777777778	517.88
6.8999999999999995	512.38
6.902222222222222	505.8
6.904444444444444	501.39
6.906666666666666	492.95
6.908888888888889	490.02
6.9111111111111105	485.98
6.913333333333333	479.02
6.915555555555555	474.28
6.917777777777777	470.2
6.92	464.72
6.922222222222222	459.97
6.924444444444444	454.11
6.926666666666667	448.25
6.928888888888888	444.58
6.931111111111111	438.75
6.933333333333333	433.97
6.935555555555555	427.77
6.937777777777778	423.0
6.9399999999999995	416.78
6.942222222222222	408.72
6.944444444444444	402.88
6.946666666666666	394.47
6.948888888888889	387.5
6.951111111111111	378.36
6.953333333333333	369.22
6.955555555555555	360.42
6.957777777777777	348.36
6.96	331.89
6.962222222222222	321.27
6.964444444444444	308.84
6.966666666666666	294.91
6.9688888888888885	283.55
6.971111111111111	268.91
6.973333333333333	258.63
6.975555555555555	248.0
6.977777777777778	238.1
6.9799999999999995	223.45
6.982222222222222	215.73
6.984444444444444	207.27
6.986666666666666	195.53
6.988888888888889	188.93
6.991111111111111	180.12
6.993333333333333	170.23
6.995555555555555	164.72
6.997777777777777	156.64
7.0	149.3
7.002222222222222	146.73
7.004444444444444	139.4
7.006666666666666	130.23
7.0088888888888885	128.38
7.011111111111111	123.24
7.013333333333333	117.02
7.015555555555555	114.07
7.017777777777777	107.84
7.02	103.81
7.022222222222222	100.14
7.024444444444444	94.63
7.026666666666666	89.5
7.028888888888889	87.3
7.031111111111111	84.36
7.033333333333333	77.4
7.035555555555555	74.46
7.0377777777777775	74.07
7.04	67.86
7.042222222222222	66.76
7.044444444444444	62.73
7.046666666666666	59.43
7.0488888888888885	60.16
7.051111111111111	53.92
7.053333333333333	50.99
7.055555555555555	48.43
7.057777777777777	45.12
7.06	42.55
7.062222222222222	40.72
7.064444444444444	37.42
7.066666666666666	34.85
7.068888888888888	31.18
7.071111111111111	-0.0
7.073333333333333	-0.0
7.075555555555555	-0.0
7.0777777777777775	-0.0
7.08	-0.0
7.082222222222222	-0.0
7.084444444444444	-0.0
7.086666666666666	-0.0
7.088888888888889	-0.0
7.091111111111111	-0.0
7.093333333333333	-0.0
7.095555555555555	-0.0
7.097777777777777	-0.0
7.1	-0.0
7.102222222222222	-0.0
7.104444444444444	-0.0
7.1066666666666665	-0.0
7.108888888888888	-0.0
7.111111111111111	-0.0
7.113333333333333	-0.0
7.115555555555555	-0.0
7.1177777777777775	-0.0
7.119999999999999	-0.0
7.122222222222222	-0.0
7.124444444444444	-0.0
7.126666666666666	-0.0
7.128888888888889	-0.0
7.131111111111111	-0.0
7.133333333333333	-0.0
7.135555555555555	-0.0
7.137777777777777	-0.0
7.14	-0.0
7.142222222222222	-0.0
7.144444444444444	-0.0
7.1466666666666665	-0.0
7.148888888888888	-0.0
7.151111111111111	-0.0
7.153333333333333	-0.0
7.155555555555555	-0.0
7.157777777777778	-0.0
7.159999999999999	-0.0
7.162222222222222	-0.0
7.164444444444444	-0.0
7.166666666666666	-0.0
7.168888888888889	-0.0
7.17111111111111	-0.0
7.173333333333333	-0.0
7.1755555555555555	-0.0
7.177777777777777	-0.0
7.18	-0.0
7.182222222222222	-0.0
7.184444444444444	-0.0
7.1866666666666665	-0.0
7.188888888888888	-0.0
7.191111111111111	-0.0
7.193333333333333	-0.0
7.195555555555555	-0.0
7.197777777777778	-0.0
7.199999999999999	-0.0
7.202222222222222	-0.0
7.204444444444444	-0.0
7.206666666666666	-0.0
7.208888888888889	-0.0
7.21111111111111	-0.0
7.213333333333333	-0.0
7.2155555555555555	-0.0
7.217777777777777	-0.0
7.22	-0.0
7.222222222222221	-0.0
7.224444444444444	-0.0
7.226666666666667	-0.0
7.228888888888888	-0.0
7.231111111111111	-0.0
7.233333333333333	-0.0
7.235555555555555	-0.0
7.237777777777778	-0.0
7.239999999999999	-0.0
7.242222222222222	-0.0
7.2444444444444445	-0.0
7.246666666666666	-0.0
7.248888888888889	-0.0
7.25111111111111	-0.0
7.253333333333333	-0.0
7.2555555555555555	-0.0
7.257777777777777	-0.0
7.26	-0.0
7.2622222222222215	-0.0
7.264444444444444	-0.0
7.266666666666667	-0.0
7.268888888888888	-0.0
7.271111111111111	-0.0
7.273333333333333	-0.0
7.275555555555555	-0.0
7.277777777777778	-0.0
7.279999999999999	-0.0
7.282222222222222	-0.0
7.2844444444444445	-0.0
7.286666666666666	-0.0
7.288888888888889	-0.0
7.29111111111111	-0.0
7.293333333333333	-0.0
7.295555555555556	-0.0
7.297777777777777	-0.0
7.3	-0.0
7.3022222222222215	-0.0
7.304444444444444	-0.0
7.306666666666667	-0.0
7.308888888888888	-0.0
7.311111111111111	-0.0
7.313333333333333	-0.0
7.315555555555555	-0.0
7.317777777777778	-0.0
7.319999999999999	-0.0
7.322222222222222	-0.0
7.3244444444444445	-0.0
7.326666666666666	-0.0
7.328888888888889	-0.0
7.3311111111111105	-0.0
7.333333333333333	-0.0
7.335555555555556	-0.0
7.337777777777777	-0.0
7.34	-0.0
7.3422222222222215	-0.0
7.344444444444444	-0.0
7.346666666666667	-0.0
7.348888888888888	-0.0
7.351111111111111	-0.0
7.353333333333333	-0.0
7.355555555555555	-0.0
7.357777777777778	-0.0
7.359999999999999	-0.0
7.362222222222222	-0.0
7.364444444444444	-0.0
7.366666666666666	-0.0
7.368888888888889	-0.0
7.3711111111111105	-0.0
7.373333333333333	-0.0
7.375555555555556	-0.0
7.377777777777777	-0.0
7.38	-0.0
7.382222222222222	-0.0
7.384444444444444	-0.0
7.386666666666667	-0.0
7.388888888888888	-0.0
7.391111111111111	-0.0
7.393333333333333	-0.0
7.395555555555555	-0.0
7.397777777777778	-0.0
7.3999999999999995	-0.0
7.402222222222222	-0.0
7.404444444444444	-0.0
7.406666666666666	-0.0
7.408888888888889	-0.0
7.4111111111111105	-0.0
7.413333333333333	-0.0
7.415555555555555	-0.0
7.417777777777777	-0.0
7.42	-0.0
7.422222222222222	-0.0
7.424444444444444	-0.0
7.426666666666667	-0.0
7.428888888888888	-0.0
7.431111111111111	-0.0
7.433333333333333	-0.0
7.435555555555555	-0.0
7.437777777777778	-0.0
7.4399999999999995	-0.0
7.442222222222222	-0.0
7.444444444444444	-0.0
7.446666666666666	-0.0
7.448888888888889	-0.0
7.451111111111111	-0.0
7.453333333333333	-0.0
7.455555555555555	-0.0
7.457777777777777	-0.0
7.46	-0.0
7.462222222222222	-0.0
7.464444444444444	-0.0
7.466666666666666	-0.0
7.4688888888888885	-0.0
7.471111111111111	-0.0
7.473333333333333	-0.0
7.475555555555555	-0.0
7.477777777777778	-0.0
7.4799999999999995	-0.0
7.482222222222222	-0.0
7.484444444444444	-0.0
7.486666666666666	-0.0
7.488888888888889	-0.0
7.491111111111111	-0.0
7.493333333333333	-0.0
7.495555555555555	-0.0
7.497777777777777	-0.0
7.5	-0.0
7.502222222222222	-0.0
7.504444444444444	-0.0
7.506666666666666	-0.0
7.5088888888888885	-0.0
7.511111111111111	-0.0
7.513333333333333	-0.0
7.515555555555555	-0.0
7.517777777777777	-0.0
7.52	-0.0
7.522222222222222	-0.0
7.524444444444444	-0.0
7.526666666666666	-0.0
7.528888888888889	-0.0
7.531111111111111	-0.0
7.533333333333333	-0.0
7.535555555555555	-0.0
7.5377777777777775	-0.0
7.54	-0.0
7.542222222222222	-0.0
7.544444444444444	-0.0
7.546666666666666	-0.0
7.5488888888888885	-0.0
7.551111111111111	-0.0
7.553333333333333	-0.0
7.555555555555555	-0.0
7.557777777777777	-0.0
7.56	-0.0
7.562222222222222	-0.0
7.564444444444444	-0.0
7.566666666666666	-0.0
7.568888888888888	-0.0
7.571111111111111	-0.0
7.573333333333333	-0.0
7.575555555555555	-0.0
7.5777777777777775	-0.0
7.58	-0.0
7.582222222222222	-0.0
7.584444444444444	-0.0
7.586666666666666	-0.0
7.588888888888889	-0.0
7.591111111111111	-0.0
7.593333333333333	-0.0
7.595555555555555	-0.0
7.597777777777777	-0.0
7.6	-0.0
7.602222222222222	-0.0
7.604444444444444	-0.0
7.6066666666666665	-0.0
7.608888888888888	-0.0
7.611111111111111	-0.0
7.613333333333333	-0.0
7.615555555555555	-0.0
7.6177777777777775	-0.0
7.619999999999999	-0.0
7.622222222222222	-0.0
7.624444444444444	-0.0
7.626666666666666	-0.0
7.628888888888889	-0.0
7.631111111111111	-0.0
7.633333333333333	-0.0
7.635555555555555	-0.0
7.637777777777777	-0.0
7.64	-0.0
7.642222222222222	-0.0
7.644444444444444	-0.0
7.6466666666666665	-0.0
7.648888888888888	-0.0
7.651111111111111	-0.0
7.653333333333333	-0.0
7.655555555555555	-0.0
7.657777777777778	-0.0
7.659999999999999	-0.0
7.662222222222222	-0.0
7.664444444444444	-0.0
7.666666666666666	-0.0
7.668888888888889	-0.0
7.67111111111111	-0.0
7.673333333333333	-0.0
7.6755555555555555	-0.0
7.677777777777777	-0.0
7.68	-0.0
7.682222222222222	-0.0
7.684444444444444	-0.0
7.6866666666666665	-0.0
7.688888888888888	-0.0
7.691111111111111	-0.0
7.693333333333333	-0.0
7.695555555555555	-0.0
7.697777777777778	-0.0
7.699999999999999	-0.0
