t(s),m1_X (m),m1_Y (m),m1_Z(m),m2_X (m),m2_Y (m),m2_Z(m),m3_X (m),m3_Y (m),m3_Z(m)
1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.370029770383321133e-01,7.909870567286114706e-02,-4.743137980741360948e-01,2.191565367378690010e-01,1.265300854802747510e-01,-4.426743158049916138e-01
1.100000000000000006e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.378947115942895929e-01,7.961354885878889343e-02,-4.739691248936336865e-01,2.199885721477628231e-01,1.270104613481522482e-01,-4.421237053501181347e-01
1.200000000000000094e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.388868504114487146e-01,8.018636047194918626e-02,-4.735827175658445243e-01,2.209137832525071843e-01,1.275446322285336276e-01,-4.415081733770648276e-01
1.300000000000000044e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.399649017775691784e-01,8.080877371837907885e-02,-4.731593477471698339e-01,2.219185048149940609e-01,1.281247084930960678e-01,-4.408358382598182024e-01
1.400000000000000133e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.411109646842248488e-01,8.147045344604497696e-02,-4.727052579157368095e-01,2.229859170557255132e-01,1.287409792376186524e-01,-4.401170765373187965e-01
1.499999999999999944e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.423043530675594526e-01,8.215945655041097251e-02,-4.722280114493045411e-01,2.240966439263007426e-01,1.293822576953414238e-01,-4.393642288291401687e-01
1.600000000000000033e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.435223177932927197e-01,8.286264881267654814e-02,-4.717362883296006837e-01,2.252294397093757006e-01,1.300362776456366054e-01,-4.385912288045300533e-01
1.700000000000000122e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.447408387274276564e-01,8.356616220201254497e-02,-4.712396270893479122e-01,2.263619363932838358e-01,1.306901249109473362e-01,-4.378131622085428831e-01
1.800000000000000211e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.459354570856170319e-01,8.425587543269205670e-02,-4.707481171712561419e-01,2.274714227364172947e-01,1.313306871498176598e-01,-4.370457669981793192e-01
1.900000000000000022e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.470821174277646415e-01,8.491790008990003635e-02,-4.702720499639405638e-01,2.285356258194761181e-01,1.319451050862940900e-01,-4.363048899279805548e-01
2.000000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.481579891238614111e-01,8.553905490325501570e-02,-4.698215409546817600e-01,2.295334670662425025e-01,1.325212089987231889e-01,-4.356059189933797482e-01
2.100000000000000200e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.491422387434032382e-01,8.610731168604728036e-02,-4.694061391767342384e-01,2.304457669872883863e-01,1.330479256037206959e-01,-4.349632145023153429e-01
2.200000000000000011e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.500167274293965070e-01,8.661219796430877360e-02,-4.690344429305438045e-01,2.312558759949432108e-01,1.335156422573631485e-01,-4.343895637448202951e-01
2.300000000000000100e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.507666106841084874e-01,8.704514326327751628e-02,-4.687137422106396611e-01,2.319502122555653911e-01,1.339165174843414685e-01,-4.338956849053286491e-01
2.400000000000000189e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.513808218827383811e-01,8.739975826414578264e-02,-4.684497081026687271e-01,2.325186914052015941e-01,1.342447290744126498e-01,-4.334898047970103807e-01
2.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.518524250283209698e-01,8.767203846719855143e-02,-4.682461475378352778e-01,2.329550368267133131e-01,1.344966532209820875e-01,-4.331773321509558294e-01
